ID Year weak_two_nv_1st
deal_694 1957 0
deal_695 1957 2
deal_696 1957 NA
deal_697 1957 NA
deal_698 1957 NA
deal_699 1957 NA
deal_700 1957 NA
deal_701 1957 NA
deal_702 1957 NA
deal_703 1957 NA
deal_704 1957 NA
deal_705 1957 NA
deal_706 1957 NA
deal_707 1957 NA
deal_708 1957 NA
deal_709 1957 NA
deal_710 1957 NA
deal_711 1957 NA
deal_712 1957 NA
deal_713 1957 NA
deal_714 1957 NA
deal_715 1957 NA
deal_716 1957 NA
deal_717 1957 NA
deal_718 1957 NA
deal_719 1957 NA
deal_720 1957 NA
deal_721 1957 NA
deal_722 1957 NA
deal_723 1957 NA
deal_724 1957 2
deal_725 1957 0
deal_726 1957 NA
deal_727 1957 NA
deal_728 1957 NA
deal_729 1957 NA
deal_730 1957 NA
deal_731 1957 NA
deal_732 1957 NA
deal_733 1957 NA
deal_734 1957 NA
deal_735 1957 NA
deal_736 1957 NA
deal_737 1957 NA
deal_738 1957 NA
deal_739 1957 NA
deal_740 1957 NA
deal_741 1957 NA
deal_742 1957 NA
deal_743 1957 NA
deal_744 1957 NA
deal_745 1957 NA
deal_746 1957 NA
deal_747 1957 NA
deal_748 1957 NA
deal_749 1957 NA
deal_750 1957 NA
deal_751 1957 NA
deal_752 1957 NA
deal_753 1957 NA
deal_754 1957 NA
deal_755 1957 NA
deal_756 1957 0
deal_757 1957 2
deal_758 1957 NA
deal_759 1957 NA
deal_760 1957 NA
deal_761 1957 NA
deal_762 1957 NA
deal_763 1957 NA
deal_764 1957 NA
deal_765 1957 NA
deal_766 1957 NA
deal_767 1957 NA
deal_768 1957 NA
deal_769 1957 NA
deal_770 1957 0
deal_771 1957 0
deal_772 1957 NA
deal_773 1957 NA
deal_774 1957 NA
deal_775 1957 NA
deal_776 1957 NA
deal_777 1957 NA
deal_778 1957 NA
deal_779 1957 NA
deal_780 1957 NA
deal_781 1957 NA
deal_782 1957 NA
deal_783 1957 NA
deal_784 1957 NA
deal_785 1957 NA
deal_786 1957 NA
deal_787 1957 NA
deal_788 1957 NA
deal_789 1957 NA
deal_790 1957 NA
deal_791 1957 NA
deal_792 1957 NA
deal_793 1957 NA
deal_794 1957 NA
deal_795 1957 NA
deal_796 1957 NA
deal_797 1957 NA
deal_798 1957 NA
deal_799 1957 NA
deal_800 1957 NA
deal_801 1957 NA
deal_802 1957 NA
deal_803 1957 NA
deal_804 1957 NA
deal_805 1957 NA
deal_806 1957 NA
deal_807 1957 NA
deal_808 1957 NA
deal_809 1957 NA
deal_810 1957 NA
deal_811 1957 NA
deal_812 1957 NA
deal_813 1957 NA
deal_814 1957 NA
deal_815 1957 NA
deal_816 1957 0
deal_817 1957 3
deal_818 1957 NA
deal_819 1957 NA
deal_820 1957 NA
deal_821 1957 NA
deal_822 1957 NA
deal_823 1957 NA
deal_824 1957 NA
deal_825 1957 NA
deal_826 1957 NA
deal_827 1957 NA
deal_828 1957 NA
deal_829 1957 NA
deal_830 1957 NA
deal_831 1957 NA
deal_832 1957 NA
deal_833 1957 NA
deal_834 1957 NA
deal_835 1957 NA
deal_836 1957 NA
deal_837 1957 NA
deal_838 1957 NA
deal_839 1957 NA
deal_840 1957 NA
deal_841 1957 NA
deal_842 1957 NA
deal_843 1957 NA
deal_844 1957 NA
deal_845 1957 NA
deal_846 1957 0
deal_847 1957 0
